[-C0[C0[C0=2C2=1]C3[C0=1]]-C0[C0[C0=2C3=1]C2[C0=1C2=1]]-C2[C0[C0=2C2=1]C2[C2=1C2=1]]-C2[C2[C0=1C2=1]C2[C2=1C2=1]]-C3[C0[C0=2C3=1]]C1[C1[C1=1C2=1O0=1]C3[C1=1]O0[C1=1C1=1]]C1[C1[C1=1C3=1O0=1]C2[C1=1C2=1]O0[C1=1C1=1]]C2[C1[C1=1C2=1O0=1]C2[C2=1C2=1]]C2[C2[C1=1C2=1]C2[C2=1C2=1]]C3[C1[C1=1C3=1O0=1]]O0[C1[C1=1C2=1O0=1]C1[C1=1C3=1O0=1]]] InChI=1/C10H20/c1-3-5-7-9-10-8-6-4-2/h3,5H,4,6-10H2,1-2H3/b5-3+ InChI=1S/C10H20O/c1-3-4-5-6-7-8-10-9(2)11-10/h9-10H,3-8H2,1-2H3
[-C0[C0[C0=2C2=1]C3[C0=1]]-C0[C0[C0=2C3=1]C2[C0=1C2=1]]-C2[C0[C0=2C2=1]C2[C2=1C3=1]]-C2[C2[C0=1C2=1]C3[C2=1]]-C3[C0[C0=2C3=1]]C1[C1[C1=1C2=1O0=1]C3[C1=1]O0[C1=1C1=1]]C1[C1[C1=1C3=1O0=1]C2[C1=1C2=1]O0[C1=1C1=1]]C2[C1[C1=1C2=1O0=1]C2[C2=1C3=1]]C2[C2[C1=1C2=1]C3[C2=1]]C3[C1[C1=1C3=1O0=1]]O0[C1[C1=1C2=1O0=1]C1[C1=1C3=1O0=1]]] InChI=1/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+ InChI=1S/C6H12O/c1-3-4-6-5(2)7-6/h5-6H,3-4H2,1-2H3
[-C0[C0[C0=2C2=1]C3[C0=1]]-C0[C0[C0=2C3=1]C2[C0=1C3=1]]-C2[C0[C0=2C2=1]C3[C2=1]]-C3[C0[C0=2C3=1]]-C3[C2[C0=1C3=1]]C1[C1[C1=1C2=1O0=1]C3[C1=1]O0[C1=1C1=1]]C1[C1[C1=1C3=1O0=1]C2[C1=1C3=1]O0[C1=1C1=1]]C2[C1[C1=1C2=1O0=1]C3[C2=1]]C3[C1[C1=1C3=1O0=1]]C3[C2[C1=1C3=1]]O0[C1[C1=1C2=1O0=1]C1[C1=1C3=1O0=1]]] InChI=1/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+ InChI=1S/C5H10O/c1-3-5-4(2)6-5/h4-5H,3H2,1-2H3
[-C0[C1[C0=1C1=2]C1[C0=2C1=1]C3[C0=1]]-C0[C1[C0=1C1=2]C1[C0=2C1=1]S0[C0=1O0=1O0=2O0=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=2C1=1]]-C1[C0[C1=1C1=2S0=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2S0=1]C1[C0=2C1=1]]-C2[C2[C2=1C2=1]O0[C2=1S0=1]]-C3[C0[C1=1C1=2C3=1]]-O0[C2[C2=1O0=1]S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-S0[C0[C1=1C1=2S0=1]O0[C2=1S0=1]O0[S0=2]O0[S0=2]]C0[C3[C0=1]O0[C0=1C2=1]O0[C0=2]]C2[C2[C2=1C2=1]O0[C0=1C2=1]]C3[C0[C3=1O0=1O0=2]]O0[C0[C3=1O0=1O0=2]C2[C2=1O0=1]]O0[C0[C3=1O0=1O0=2]]] InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3 InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3
[-C0[C1[C0=1C1=2]C1[C0=2C1=1]C3[C0=1]]-C0[C1[C0=1C1=2]C1[C0=2C1=1]S0[C0=1O0=1O0=2O0=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=2C1=1]]-C1[C0[C1=1C1=2S0=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2S0=1]C1[C0=2C1=1]]-C2[C2[C2=1C2=1]O0[C2=1S0=1]]-C3[C0[C1=1C1=2C3=1]]-O0[C2[C2=1O0=1]S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-S0[C0[C1=1C1=2S0=1]O0[C2=1S0=1]O0[S0=2]O0[S0=2]]C2[C2[C2=1C2=1]O0[C2=1C3=1]]C3[O0[C2=1C3=1]]O0[C2[C2=1O0=1]C3[O0=1]]] InChI=1S/C11H16O3S/c1-3-4-9-14-15(12,13)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3 InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3
[-C0[C1[C0=1C1=2]C1[C0=2C1=1]C3[C0=1]]-C0[C1[C0=1C1=2]C1[C0=2C1=1]S0[C0=1O0=1O0=2O0=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=2C1=1]]-C1[C0[C1=1C1=2S0=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2S0=1]C1[C0=2C1=1]]-C2[C2[C2=1C3=1]O0[C2=1S0=1]]-C3[C0[C1=1C1=2C3=1]]-O0[C2[C2=1O0=1]S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-S0[C0[C1=1C1=2S0=1]O0[C2=1S0=1]O0[S0=2]O0[S0=2]]C0[C3[C0=1]O0[C0=1C2=1]O0[C0=2]]C2[C2[C2=1C3=1]O0[C0=1C2=1]]C3[C0[C3=1O0=1O0=2]]O0[C0[C3=1O0=1O0=2]C2[C2=1O0=1]]O0[C0[C3=1O0=1O0=2]]] InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3 InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3
[-C0[C1[C0=1C1=2]C1[C0=2C1=1]C3[C0=1]]-C0[C1[C0=1C1=2]C1[C0=2C1=1]S0[C0=1O0=1O0=2O0=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=2C1=1]]-C1[C0[C1=1C1=2S0=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2S0=1]C1[C0=2C1=1]]-C2[C2[C2=1C3=1]O0[C2=1S0=1]]-C3[C0[C1=1C1=2C3=1]]-O0[C2[C2=1O0=1]S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-S0[C0[C1=1C1=2S0=1]O0[C2=1S0=1]O0[S0=2]O0[S0=2]]C2[C2[C2=1C3=1]O0[C2=1C3=1]]C3[O0[C2=1C3=1]]O0[C2[C2=1O0=1]C3[O0=1]]] InChI=1S/C10H14O3S/c1-3-8-13-14(11,12)10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3 InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3
[-C0[C1[C0=1C1=2]C1[C0=2C1=1]C3[C0=1]]-C0[C1[C0=1C1=2]C1[C0=2C1=1]S0[C0=1O0=1O0=2O0=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=2C1=1]]-C1[C0[C1=1C1=2S0=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2S0=1]C1[C0=2C1=1]]-C2[C3[C2=1]O0[C2=1S0=1]]-C3[C0[C1=1C1=2C3=1]]-O0[C2[C3=1O0=1]S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-S0[C0[C1=1C1=2S0=1]O0[C2=1S0=1]O0[S0=2]O0[S0=2]]C0[C3[C0=1]O0[C0=1C2=1]O0[C0=2]]C2[C3[C2=1]O0[C0=1C2=1]]C3[C0[C3=1O0=1O0=2]]O0[C0[C3=1O0=1O0=2]C2[C3=1O0=1]]O0[C0[C3=1O0=1O0=2]]] InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3 InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3
[-C0[C1[C0=1C1=2]C1[C0=2C1=1]C3[C0=1]]-C0[C1[C0=1C1=2]C1[C0=2C1=1]S0[C0=1O0=1O0=2O0=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2C3=1]C1[C0=2C1=1]]-C1[C0[C1=1C1=2S0=1]C1[C0=1C1=2]]-C1[C0[C1=1C1=2S0=1]C1[C0=2C1=1]]-C2[C3[C2=1]O0[C2=1S0=1]]-C3[C0[C1=1C1=2C3=1]]-O0[C2[C3=1O0=1]S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-O0[S0[C0=1O0=1O0=2O0=2]]-S0[C0[C1=1C1=2S0=1]O0[C2=1S0=1]O0[S0=2]O0[S0=2]]C2[C3[C2=1]O0[C2=1C3=1]]C3[O0[C2=1C3=1]]O0[C2[C3=1O0=1]C3[O0=1]]] InChI=1S/C9H12O3S/c1-3-12-13(10,11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3 InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3
[-C0[C1[C0=2C2=1]C3[C0=1]C3[C0=1]]-C1[C0[C1=2C3=1C3=1]C2[C1=1C2=1]]-C2[C1[C0=2C2=1]C2[C2=1C2=1]]-C2[C2[C1=1C2=1]C2[C2=1C2=1]]-C3[C0[C1=2C3=1C3=1]]-C3[C0[C1=2C3=1C3=1]]C0[C2[C0=1C2=1]C3[C0=1]C3[C0=1]O1[C0=1]]C2[C0[C2=1C3=1C3=1O1=1]C2[C2=1C2=1]]C2[C2[C0=1C2=1]C2[C2=1C2=1]]C2[C2[C2=1C2=1]C2[C2=1C2=1]]C3[C0[C2=1C3=1C3=1O1=1]]C3[C0[C2=1C3=1C3=1O1=1]]O1[C0[C2=1C3=1C3=1O1=1]]] InChI=1S/C10H20/c1-4-5-6-7-8-9-10(2)3/h9H,4-8H2,1-3H3 InChI=1S/C10H22O/c1-4-5-6-7-8-9-10(2,3)11/h11H,4-9H2,1-3H3
[-C0[C1[C0=2C2=1]C3[C0=1]C3[C0=1]]-C1[C0[C1=2C3=1C3=1]C2[C1=1C2=1]]-C2[C1[C0=2C2=1]C2[C2=1C2=1]]-C2[C2[C1=1C2=1]C2[C2=1C2=1]]-C3[C0[C1=2C3=1C3=1]]-C3[C0[C1=2C3=1C3=1]]C0[C2[C0=1C2=1]C3[C0=1]O0[C0=2]]C2[C0[C2=1C3=1O0=2]C2[C2=1C2=1]]C2[C2[C0=1C2=1]C2[C2=1C2=1]]C3[C0[C2=1C3=1O0=2]]O0[C0[C2=1C3=1O0=2]]] InChI=1S/C10H20/c1-4-5-6-7-8-9-10(2)3/h9H,4-8H2,1-3H3 InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3
