Reagents,Reactant InChI,Product InChI,
NaH | CH3Br,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3","NaH | CH3Br%InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3%InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3"
NaH | CH3Br,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3","InChI=1S/C6H14O/c1-3-4-5-6-7-2/h3-6H2,1-2H3","NaH | CH3Br%InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3%InChI=1S/C6H14O/c1-3-4-5-6-7-2/h3-6H2,1-2H3"
NaH | CH3Br,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3","InChI=1S/C7H16O/c1-3-4-5-6-7-8-2/h3-7H2,1-2H3","NaH | CH3Br%InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3%InChI=1S/C7H16O/c1-3-4-5-6-7-8-2/h3-7H2,1-2H3"
NaH | CH3Br,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3","InChI=1S/C8H18O/c1-3-4-5-6-7-8-9-2/h3-8H2,1-2H3","NaH | CH3Br%InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3%InChI=1S/C8H18O/c1-3-4-5-6-7-8-9-2/h3-8H2,1-2H3"
NaH | CH3Br,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3","InChI=1S/C9H20O/c1-3-4-5-6-7-8-9-10-2/h3-9H2,1-2H3","NaH | CH3Br%InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3%InChI=1S/C9H20O/c1-3-4-5-6-7-8-9-10-2/h3-9H2,1-2H3"
NaH | CH3Br,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3","InChI=1S/C10H22O/c1-3-4-5-6-7-8-9-10-11-2/h3-10H2,1-2H3","NaH | CH3Br%InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3%InChI=1S/C10H22O/c1-3-4-5-6-7-8-9-10-11-2/h3-10H2,1-2H3"
NaH | CH3Br,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3","InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11-12-2/h3-11H2,1-2H3","NaH | CH3Br%InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3%InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11-12-2/h3-11H2,1-2H3"
KOH | cold DMSO,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3","InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","KOH | cold DMSO%InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3%InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
KOH | cold DMSO,"InChI=1/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3","InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3","KOH | cold DMSO%InChI=1/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3%InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3"
KOH | cold DMSO,"InChI=1S/C5H11Cl/c1-3-4-5(2)6/h5H,3-4H2,1-2H3","InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3","KOH | cold DMSO%InChI=1S/C5H11Cl/c1-3-4-5(2)6/h5H,3-4H2,1-2H3%InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3"
